Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0603_1608Metric,134.5,-88.3,-90.0,top
C2,100 nF,C_0603_1608Metric,136.1,-81.775,90.0,top
C3,100 nF,C_0603_1608Metric,167.15,-88.125,-90.0,top
C4,100 nF,C_0603_1608Metric,152.5,-81.7,90.0,top
C5,100 nF,C_0603_1608Metric,150.9,-88.2,-90.0,top
C6,100 nF,C_0603_1608Metric,168.7,-81.625,90.0,top
D1,WS2812B,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,130.8,-87.75,180.0,top
D5,WS2812B,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,147.2,-87.7,180.0,top
D9,WS2812B,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,163.5,-87.65,180.0,top
R1,33R,R_0603_1608Metric,136.1,-84.9,-90.0,top
R2,100R,R_0603_1608Metric,152.5,-88.2,90.0,top
R3,100R,R_0603_1608Metric,136.1,-88.3,90.0,top
R4,100R,R_0603_1608Metric,168.65,-88.15,90.0,top
R5,33R,R_0603_1608Metric,168.7,-84.7,90.0,top
U1,WS2811,SO-8_3.9x4.9mm_P1.27mm,131.5,-83.0,0.0,top
U2,WS2811,SO-8_3.9x4.9mm_P1.27mm,147.95,-82.95,0.0,top
U3,WS2811,SO-8_3.9x4.9mm_P1.27mm,164.25,-82.85,0.0,top
